id;specialisme;wachttijd;naam;straat;postcode;plaats;website;latitude;longitude
113232;Cardiologie;6;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Dermatologie;13;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Gynaecologie / Verloskunde;3;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Heelkunde;1;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Interne Geneeskunde;4;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Kaakchirurgie;0;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Kindergeneeskunde;1;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;KNO;5;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Longgeneeskunde;4;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Maag, darm en leverziekten;4;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Neurologie;8;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Oncologie;0;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Oogheelkunde;13;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Orthopedie;2;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Pijnbestrijding / Anesthesiologie;0;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Plastische Chirurgie;1;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Psychiatrie;2;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Radiologie;0;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Reumatologie;2;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Revalidatiegeneeskunde;0;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Thoraxchirurgie;6;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
113232;Urologie;4;Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.3081365;6.9312709
3051816;Orthopedie;2;Sint Maartenskliniek Boxmeer;Dokter Kopstraat 1;5835 DV;Beugen;https://www.maartenskliniek.nl;51.6637318;5.9403869
3051816;Reumatologie;2;Sint Maartenskliniek Boxmeer;Dokter Kopstraat 1;5835 DV;Beugen;https://www.maartenskliniek.nl;51.6637318;5.9403869
3051816;Revalidatiegeneeskunde;0;Sint Maartenskliniek Boxmeer;Dokter Kopstraat 1;5835 DV;Beugen;https://www.maartenskliniek.nl;51.6637318;5.9403869
3036370;Cardiologie;1;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Dermatologie;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Heelkunde;1;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Interne Geneeskunde;3;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Longgeneeskunde;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Neurochirurgie;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Neurologie;4;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Oncologie;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Orthopedie;2;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Psychiatrie;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Radiologie;1;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Sportgeneeskunde;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3036370;Urologie;0;St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.477901999999999
3028857;Orthopedie;2;Sint Maartenskliniek Woerden;Polanerbaan 2;3447 GN;Woerden;https://www.maartenskliniek.nl;52.0794565;4.8918803
3028857;Reumatologie;2;Sint Maartenskliniek Woerden;Polanerbaan 2;3447 GN;Woerden;https://www.maartenskliniek.nl;52.0794565;4.8918803
3033363;Cardiologie;1;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Dermatologie;5;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Geriatrie;2;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Gynaecologie / Verloskunde;1;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Heelkunde;1;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Interne Geneeskunde;5;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Kaakchirurgie;4;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Kindergeneeskunde;5;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;KNO;1;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Maag, darm en leverziekten;5;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Neurologie;3;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Oncologie;0;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Orthopedie;1;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Radiologie;0;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Reumatologie;4;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
3033363;Urologie;2;Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.5378268;5.7030499
111609;Cardiologie;1;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Dermatologie;5;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Geriatrie;2;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Gynaecologie / Verloskunde;1;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Heelkunde;1;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Interne Geneeskunde;5;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Kaakchirurgie;4;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Kindergeneeskunde;5;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;KNO;1;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Longgeneeskunde;3;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Maag, darm en leverziekten;5;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Neurochirurgie;6;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Neurologie;3;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Oncologie;0;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Oogheelkunde;3;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Orthopedie;1;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Pijnbestrijding / Anesthesiologie;8;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
111609;Plastische Chirurgie;2;Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.3420123;5.6162657
