naam;straat;postcode;plaats;website;latitude;longitude
Medisch Spectrum Twente (MST), locatie Oldenzaal;Prins Bernhardstraat 17;7573 AM;Oldenzaal;https://www.mst.nl;52.308136499999996;6.9312709
Sint Maartenskliniek Boxmeer;Dokter Kopstraat 1;5835 DV;Beugen;https://www.maartenskliniek.nl;51.663731799999994;5.940386900000001
St. Anna Ziekenhuis, locatie Eindhoven;Antoon Coolenlaan 1 03;5644 RX;Eindhoven;http://www.st-anna.nl;51.4159685;5.4779019999999985
Sint Maartenskliniek Woerden;Polanerbaan 2;3447 GN;Woerden;https://www.maartenskliniek.nl;52.0794565;4.8918803
Ziekenhuis St Jansdal, Polikliniek Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.polikliniekdronten.nl;52.53782679999999;5.703049900000001
Ziekenhuis St Jansdal, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;https://www.stjansdal.nl;52.34201229999999;5.6162657
Sint Maartenskliniek Nijmegen;Hengstdal 3;6522 JV;Nijmegen;https://www.maartenskliniek.nl;51.833479499999996;5.9004166
Streekziekenhuis Koningin Beatrix, locatie Winterswijk;Beatrixpark 1;7101 BN;Winterswijk;https://www.skbwinterswijk.nl;51.979066100000004;6.700517899999999
Máxima Medisch Centrum, locatie Eindhoven;Ds. Theodor Fliednerstraat 1;5631 BM;Eindhoven;https://www.mmc.nl;51.454286700000004;5.487177000000001
Spijkenisse Medisch Centrum;Ruwaard van Puttenweg 500;3201 GZ;Spijkenisse;http://www.spijkenissemc.nl;51.84650060000001;4.3379107
Antoni van Leeuwenhoek;Plesmanlaan 121;1066 CX;Amsterdam;https://www.avl.nl;52.35057219999999;4.826472900000001
Deventer Ziekenhuis, locatie Deventer;Nico Bolkesteinlaan 75;7416 SE;Deventer;https://www.dz.nl;52.261182700000006;6.191425
SJG Weert - St. Jans Gasthuis Weert;Vogelsbleek 5;6001 BE;Weert;https://www.sjgweert.nl;51.2541567;5.712534
Wilhelmina Ziekenhuis Assen (WZA);Europaweg-Zuid 1;9401 RK;Assen;https://www.wza.nl;52.984009400000005;6.565553100000001
Slingeland Ziekenhuis, locatie Kruisbergseweg;Kruisbergseweg 25;7009 BL;Doetinchem;https://www.slingeland.nl;51.975970000000004;6.2843963
Maasziekenhuis Pantein;Dokter Kopstraat 1;5835 DV;Beugen;http://www.maasziekenhuispantein.nl;51.663731799999994;5.940386900000001
Spaarne Gasthuis, locatie Heemstede;Händellaan 2 A;2102 CW;Heemstede;http://www.spaarnegasthuis.nl;52.3549654;4.633442899999999
Bernhoven, locatie Nistelrodeseweg;Nistelrodeseweg 10;5406 PT;Uden;https://www.bernhoven.nl;51.6734703;5.6043575
Gelre Zutphen;Den Elterweg 77;7207 AE;Zutphen;http://www.gelreziekenhuizen.nl;52.1228181;6.217167400000001
Het Van Weel-Bethesda Ziekenhuis Dirksland;Stationsweg 22;3247 BW;Dirksland;https://www.vanweelbethesda.nl;51.750220500000005;4.1021253
Tjongerschans;Thialfweg 44;8441 PW;Heerenveen;https://www.tjongerschans.nl;52.9661456;5.917699
Amphia Ziekenhuis, locatie Pasteurlaan;Pasteurlaan 9;4901 DH;Oosterhout;http://www.amphia.nl;51.64835309999999;4.8706342000000005
Saxenburgh Groep, Röpcke-Zweers Ziekenhuis;Jan Weitkamplaan 4 A;7772 SE;Hardenberg;http://www.saxenburgh.nl;52.5717176;6.632865600000001
VieCuri, locatie Venray;Merseloseweg 130;5801 CE;Venray;http://www.viecuri.nl;51.5272388;5.9595088
Radboudumc, afdeling Longziekten, locatie Dekkerswald;Nijmeegsebaan 31;6561 KE;Groesbeek;http://www.uccz.nl;51.8016257;5.8950079
Medisch Centrum Jan van Goyen, locatie Emmastraat;Emmastraat 42;1075 HW;Amsterdam;http://www.medischcentrumjanvangoyen.nl;52.35253729999999;4.8699648
Medisch Spectrum Twente (MST), locatie Enschede;Koningsplein 1;7512 KZ;Enschede;https://www.mst.nl;52.21727449999999;6.8932243
Gelre Apeldoorn;Albert Schweitzerlaan 31;7334 DZ;Apeldoorn;http://www.gelreziekenhuizen.nl;52.18131020000001;5.947556099999999
CWZ - Canisius-Wilhelmina Ziekenhuis Nijmegen;Weg door Jonkerbos 100;6532 SZ;Nijmegen;https://www.cwz.nl;51.82037560000001;5.8298191
Treant Zorggroep, Ziekenhuislocatie Refaja;Boerhaavestraat 1;9501 HE;Stadskanaal;http://www.treant.nl;53.00054179999999;6.936043700000001
Máxima Medisch Centrum, locatie Veldhoven;De Run 4600;5504 DB;Veldhoven;https://www.mmc.nl;51.4056498;5.4183008
Medisch Centrum Jan van Goyen, locatie Jan van Goyenkade;Jan van Goyenkade 1;1075 HN;Amsterdam;http://www.medischcentrumjanvangoyen.nl;52.3523498;4.8695492
Antonius Ziekenhuis, locatie Sneek;Bolswarderbaan 1;8601 ZK;Sneek;http://www.mijnantonius.nl;53.034689;5.642867
CWZ - Canisius-Wilhelmina Ziekenhuis Waalsprong;Carbatinastraat 3;6515 GM;Nijmegen;http://www.cwz.nl/waalsprong;51.881447200000004;5.8460573
Spaarne Gasthuis, locatie Hoofddorp;Spaarnepoort 1;2134 TM;Hoofddorp;http://www.spaarnegasthuis.nl;52.323855200000004;4.6534005999999986
Spaarne Gasthuis, locatie Haarlem-Noord;Vondelweg 999;2026 BW;Haarlem;https://www.spaarnegasthuis.nl;52.42279560000001;4.6495818999999985
Amphia Ziekenhuis, locatie Langendijk;Langendijk 75;4819 EV;Breda;http://www.amphia.nl;51.57446179999999;4.762828
Laurentius Ziekenhuis Roermond;Mgr. Driessenstraat 6;6043 CV;Roermond;https://www.laurentiusziekenhuisroermond.nl;51.1922194;6.000334400000001
Flevoziekenhuis Almere;Hospitaalweg 1;1315 RA;Almere;https://www.flevoziekenhuis.nl;52.3691156;5.2237000999999985
ZorgSaam Ziekenhuis, locatie De Honte;Wielingenlaan 2;4535 PA;Terneuzen;http://www.zorgsaam.org;51.30918519999999;3.8601120000000004
Radboudumc;Geert Grooteplein-Zuid 10;6525 GA;Nijmegen;https://www.radboudumc.nl;51.82338370000001;5.8600917
St. Anna Ziekenhuis, locatie Geldrop;Bogardeind 2;5664 EH;Geldrop;http://www.st-anna.nl;51.4198606;5.5585378
St Antonius Woerden;Polanerbaan 2;3447 GN;Woerden;http://www.antoniusziekenhuis.nl;52.0794565;4.8918803
ETZ Waalwijk;Kasteellaan 2;5141 BM;Waalwijk;https://www.etz.nl;51.6858817;5.0530282
Rijnstate Zevenaar;Hunneveldweg 14 A;6903 ZN;Zevenaar;http://www.rijnstate.nl;51.9421501;6.0697227
UMCG Centrum voor Revalidatie, locatie Beatrixoord;Dilgtweg 5;9751 ND;Haren;http://www.revalidatie.umcg.nl;53.18244749999999;6.5994856
Groene Hart Ziekenhuis, locatie Gouda;Bleulandweg 10;2803 HH;Gouda;http://www.ghz.nl;52.0220227;4.706738099999999
Meander Medisch Centrum, locatie Amersfoort;Maatweg 3;3813 TZ;Amersfoort;https://www.meandermc.nl;52.1720318;5.3711835
OLVG, locatie Oost;Oosterpark 9;1091 AC;Amsterdam;https://www.olvg.nl;52.358237100000004;4.915375
Elkerliek ziekenhuis, locatie Helmond;Wesselmanlaan 25;5707 HA;Helmond;https://www.elkerliek.nl;51.4820949;5.6436799
Ikazia ziekenhuis Rotterdam;Montessoriweg 1;3083 AN;Rotterdam;https://www.ikazia.nl;51.886169;4.4939073
Martini Ziekenhuis;Van Swietenplein 1;9728 NT;Groningen;https://www.martiniziekenhuis.nl;53.192528;6.5513759999999985
Meander Medisch Centrum, locatie Baarn;Molenweg 2;3743 CM;Baarn;https://www.meandermc.nl;52.2148325;5.2770779
Rijnstate Arnhem;Wagnerlaan 55;6815 AD;Arnhem;http://www.rijnstate.nl;52.00090119999999;5.909849400000001
Jeroen Bosch Ziekenhuis;Henri Dunantstraat 1;5223 GZ;’s-Hertogenbosch;https://www.jbz.nl;51.68507959999999;5.2755195
